Epoch,Batch,real_loss,fake_loss,d_loss,g_adv,g_pixel,g_loss
1.000000,1.000000,0.905135,0.185896,0.545516,0.863433,0.429142,0.429576
2.000000,1.000000,0.069226,0.029859,0.049542,0.865772,0.293313,0.293886
3.000000,1.000000,0.051779,0.023840,0.037809,0.831252,0.287488,0.288032
4.000000,1.000000,0.049072,0.014945,0.032008,0.969927,0.288949,0.289630
5.000000,1.000000,0.037039,0.021732,0.029385,0.885056,0.278937,0.279543
6.000000,1.000000,0.033550,0.011849,0.022700,0.961990,0.257212,0.257917
7.000000,1.000000,0.035739,0.012443,0.024091,0.965128,0.254124,0.254835
8.000000,1.000000,0.024558,0.014696,0.019627,0.894016,0.267329,0.267956
9.000000,1.000000,0.026407,0.011701,0.019054,0.914783,0.270032,0.270677
10.000000,1.000000,0.023852,0.007246,0.015549,0.993320,0.274099,0.274818
11.000000,1.000000,0.017129,0.006719,0.011924,1.004442,0.245494,0.246253
12.000000,1.000000,0.016386,0.010451,0.013418,0.971945,0.252048,0.252768
13.000000,1.000000,0.018337,0.008628,0.013482,0.994994,0.253624,0.254365
14.000000,1.000000,0.014516,0.006558,0.010537,0.977518,0.246522,0.247253
15.000000,1.000000,0.019307,0.005918,0.012612,1.050574,0.252929,0.253727
16.000000,1.000000,0.013463,0.005466,0.009464,0.990598,0.245391,0.246136
17.000000,1.000000,0.011338,0.007811,0.009575,0.929567,0.250403,0.251082
18.000000,1.000000,0.019103,0.004403,0.011753,0.996883,0.241456,0.242212
19.000000,1.000000,0.010933,0.007125,0.009029,0.984430,0.235452,0.236201
20.000000,1.000000,0.009503,0.005526,0.007514,0.998053,0.243462,0.244217
21.000000,1.000000,0.011771,0.012039,0.011905,0.910132,0.233993,0.234669
22.000000,1.000000,0.008049,0.003700,0.005874,1.010014,0.236500,0.237273
23.000000,1.000000,0.007168,0.006063,0.006615,0.969900,0.250667,0.251386
24.000000,1.000000,0.009592,0.011604,0.010598,0.842319,0.239251,0.239854
25.000000,1.000000,0.007195,0.011435,0.009315,0.881712,0.230312,0.230963
26.000000,1.000000,0.005976,0.005310,0.005643,0.952249,0.234726,0.235443
27.000000,1.000000,0.006875,0.003789,0.005332,0.987478,0.231148,0.231905
28.000000,1.000000,0.005905,0.003493,0.004699,0.992918,0.246092,0.246839
29.000000,1.000000,0.007958,0.004490,0.006224,0.954311,0.235634,0.236353
30.000000,1.000000,0.004668,0.004659,0.004663,0.930106,0.237844,0.238536
31.000000,1.000000,0.005050,0.002681,0.003866,1.028642,0.220427,0.221235
32.000000,1.000000,0.004456,0.002119,0.003288,0.987686,0.222961,0.223725
33.000000,1.000000,0.003563,0.002841,0.003202,0.998032,0.250276,0.251024
34.000000,1.000000,0.004924,0.002819,0.003872,0.969114,0.230736,0.231474
35.000000,1.000000,0.022568,0.138420,0.080494,0.493764,0.239119,0.239374
36.000000,1.000000,0.006947,0.003364,0.005155,0.984785,0.225797,0.226556
37.000000,1.000000,0.004881,0.003957,0.004419,0.987548,0.240750,0.241497
38.000000,1.000000,0.004448,0.002839,0.003643,1.004977,0.237324,0.238092
39.000000,1.000000,0.003443,0.002666,0.003055,0.972148,0.225607,0.226354
40.000000,1.000000,0.002893,0.004402,0.003647,0.943856,0.234665,0.235375
41.000000,1.000000,0.005720,0.002051,0.003886,0.986726,0.234396,0.235148
42.000000,1.000000,0.002499,0.001933,0.002216,0.984265,0.227471,0.228228
43.000000,1.000000,0.002749,0.002625,0.002687,1.001172,0.231927,0.232696
44.000000,1.000000,0.003529,0.002724,0.003126,0.994945,0.227143,0.227911
45.000000,1.000000,0.003137,0.004577,0.003857,0.955050,0.228087,0.228814
46.000000,1.000000,0.002666,0.030125,0.016396,0.861164,0.228158,0.228791
47.000000,1.000000,0.002280,0.003623,0.002951,0.981741,0.229433,0.230185
