epo_train,disc_train,gen_train
1,0.229006,0.43136
2,0.096062,0.337007
3,0.070979,0.31136
4,0.050211,0.297675
5,0.049586,0.288845
6,0.051992,0.279423
7,0.040299,0.277534
8,0.034831,0.275088
9,0.034976,0.271525
10,0.030574,0.268644
11,0.026178,0.268888
12,0.026234,0.265293
13,0.025185,0.263529
14,0.023525,0.263008
15,0.020969,0.261851
16,0.021342,0.261109
17,0.022776,0.261934
18,0.028166,0.257059
19,0.017109,0.257475
20,0.015891,0.256472
21,0.015514,0.252751
22,0.015679,0.253079
23,0.016068,0.25326
24,0.016442,0.252332
25,0.014703,0.250803
26,0.01306,0.250583
27,0.012902,0.249597
28,0.013812,0.249053
29,0.013063,0.247182
30,0.013097,0.247123
31,0.012287,0.246726
32,0.011133,0.246532
33,0.011451,0.243651
2,0.097817,0.335338
3,0.069836,0.309641
4,0.052186,0.297936
5,0.059341,0.289589
6,0.046715,0.282933
7,0.03944,0.275815
8,0.034058,0.270645
9,0.032452,0.271289
10,0.030693,0.270943
11,0.027554,0.265705
12,0.028087,0.269998
13,0.02425,0.265507
14,0.022045,0.26164
15,0.021288,0.260861
16,0.021255,0.259603
17,0.02461,0.257898
18,0.018687,0.258877
19,0.017038,0.255675
20,0.018853,0.255561
21,0.016119,0.257322
22,0.01792,0.253834
23,0.014614,0.251417
24,0.01682,0.251315
25,0.015132,0.250148
26,0.013608,0.248045
27,0.013786,0.248354
28,0.012991,0.250116
29,0.013729,0.246495
30,0.013406,0.246951
31,0.011214,0.246044
32,0.011873,0.245485
33,0.012049,0.248833
34,0.010296,0.245022
35,0.009886,0.242879
36,0.01113,0.243726
37,0.009924,0.243532
38,0.008998,0.242636
39,0.008768,0.241437
40,0.008611,0.241796
41,0.010949,0.240103
42,0.007933,0.240018
43,0.00758,0.240709
44,0.008604,0.239143
45,0.007735,0.238218
46,0.007059,0.239522
47,0.009762,0.239316
48,0.007663,0.239506
49,0.006411,0.23715
50,0.006896,0.238437
51,0.007158,0.23527
52,0.006582,0.237274
53,0.006518,0.236488
54,0.00843,0.236134
55,0.006347,0.234487
56,0.005093,0.235472
57,0.00543,0.235271
58,0.008006,0.234521
59,0.346573,0.234347
60,0.0204,0.233157
61,0.012132,0.233636
62,0.009855,0.233533
63,0.008953,0.231229
64,0.007946,0.232792
65,0.007582,0.233214
66,0.006787,0.232888
67,0.006553,0.232077
68,0.006395,0.232179
69,0.00585,0.231293
70,0.00644,0.231141
71,0.005853,0.227871
72,0.00585,0.231886
73,0.004834,0.229163
74,0.004859,0.229067
75,0.004985,0.228938
76,0.004825,0.229217
77,0.004729,0.227808
78,0.004297,0.229367
79,0.004247,0.227484
80,0.004149,0.226947
81,0.004188,0.228022
82,0.004206,0.227019
83,0.004327,0.22768
84,0.004076,0.225532
85,0.00469,0.227365
86,0.003937,0.226738
87,0.003715,0.225351
88,0.003823,0.227609
89,0.003545,0.224058
90,0.003691,0.224814
91,0.0031,0.224834
92,0.003258,0.225813
93,0.003299,0.224686
94,0.003186,0.223678
95,0.003137,0.224472
96,0.003108,0.225045
97,0.003118,0.222758
98,0.002728,0.224985
99,0.002788,0.223261
100,0.002731,0.224785
101,0.00302,0.221753
102,0.002861,0.222038
103,0.002503,0.221384
104,0.002756,0.222722
105,0.002568,0.222415
106,0.002608,0.222373
107,0.002475,0.221757
108,0.00228,0.222235
109,0.002841,0.221162
110,0.002691,0.222814
111,0.002367,0.2215
112,0.002878,0.2214
113,0.002157,0.219856
114,0.002371,0.219667
115,0.002305,0.22069
116,0.002621,0.220504
102,0.002853,0.221746
103,0.003094,0.223627
104,0.002391,0.221437
105,0.002391,0.222931
106,0.002513,0.222291
107,0.002736,0.221312
108,0.002412,0.221157
109,0.002334,0.22145
110,0.002578,0.22111
111,0.002574,0.221039
112,0.002538,0.222228
113,0.002234,0.220715
114,0.002348,0.22088
115,0.002893,0.217627
116,0.002228,0.222016
117,0.002452,0.2201
118,0.002502,0.219603
119,0.002354,0.219548
120,0.003598,0.219859
121,0.00221,0.220125
122,0.002062,0.218412
123,0.002442,0.220563
124,0.002744,0.219477
125,0.002898,0.216777
126,0.001951,0.217692
127,0.002064,0.218093
128,0.002377,0.218343
129,0.002183,0.217818
130,0.00191,0.217369
131,0.00213,0.217782
132,0.002607,0.218113
133,0.001918,0.217255
134,0.001803,0.218083
135,0.001596,0.217576
136,0.002434,0.217957
137,0.002252,0.218428
138,0.00182,0.216321
139,0.003251,0.21662
140,0.001345,0.217268
141,0.001931,0.215261
142,0.001889,0.216245
143,0.002754,0.218178
144,0.001897,0.215715
145,0.001858,0.216528
146,0.00201,0.213949
147,0.002257,0.215452
148,0.001808,0.215734
149,0.001591,0.215218
150,0.00188,0.214781
151,0.002397,0.213989
152,0.002638,0.213611
153,0.001762,0.213657
154,0.001409,0.214514
155,0.001377,0.215146
156,0.001581,0.214145
157,0.002375,0.213738
158,0.002074,0.212263
159,0.005542,0.212687
160,0.001438,0.213685
161,0.001,0.213357
162,0.001361,0.212381
163,0.001305,0.212999
164,0.001401,0.212931
165,0.001317,0.212869
166,0.001686,0.212965
167,0.002443,0.212861
168,0.00213,0.211019
169,0.001697,0.211757
170,0.002068,0.212374
171,0.001195,0.212218
172,0.001254,0.211898
173,0.00141,0.210914
174,0.002172,0.210714
175,0.002429,0.212147
176,0.001211,0.211206
177,0.001111,0.211013
178,0.001307,0.210444
179,0.001835,0.210688
180,0.001777,0.210321
181,0.002372,0.210056
182,0.002292,0.209633
183,0.001079,0.209551
184,0.001229,0.209566
185,0.001463,0.210134
186,0.001674,0.20911
187,0.002301,0.210253
188,0.001391,0.209063
189,0.001563,0.210844
190,0.001402,0.20899
191,0.000907,0.20862
192,0.001536,0.208831
193,0.001262,0.208867
194,0.001893,0.208328
195,0.001565,0.208502
196,0.002355,0.209492
197,0.001718,0.208693
198,0.001315,0.208953
199,0.001215,0.209851
200,0.001206,0.208971
201,0.001819,0.208481
202,0.001799,0.208304
203,0.001389,0.207798
204,0.000928,0.207704
205,0.000938,0.207504
206,0.003339,0.207603
207,0.002098,0.208355
208,0.000825,0.207583
209,0.000887,0.205521
210,0.001119,0.207612
211,0.001083,0.206793
212,0.001204,0.206176
213,0.001698,0.207062
214,0.001719,0.207355
215,0.002157,0.206414
216,0.001217,0.206427
217,0.001162,0.205368
218,0.001045,0.206446
219,0.001036,0.205133
220,0.001051,0.205869
221,0.001657,0.206413
222,0.002511,0.204647
223,0.001049,0.204966
224,0.000785,0.204478
225,0.001242,0.204538
226,0.00191,0.206039
227,0.001337,0.203844
228,0.00222,0.204024
229,0.001207,0.207279
230,0.001674,0.205014
231,0.001182,0.204041
232,0.000753,0.205562
233,0.001411,0.204562
234,0.001497,0.20373
235,0.000749,0.204569
236,0.00185,0.205564
237,0.000914,0.203738
238,0.001336,0.203536
239,0.001084,0.20387
240,0.000852,0.202036
241,0.001411,0.203463
242,0.00116,0.203087
243,0.001598,0.203738
244,0.001362,0.202923
245,0.002237,0.203826
246,0.00081,0.201387
247,0.000513,0.203635
248,0.00178,0.202864
249,0.0016,0.202011
250,0.00057,0.204
251,0.000606,0.203067
252,0.000884,0.202532
253,0.005382,0.201445
254,0.001004,0.20305
255,0.000661,0.201283
256,0.002179,0.201321
257,0.002788,0.201725
258,0.000798,0.20197
